customer_id,tenure_months,monthly_charges,contract_type,support_tickets_last_90d,payment_method,on_promo,churned
CUST_00062,31.8,39.0,month-to-month,0,paypal,0,1
CUST_00063,7.9,75.15,month-to-month,3,credit_card,1,1
CUST_00064,5.9,87.41,month-to-month,1,direct_debit,0,1
CUST_00065,14.1,73.9,month-to-month,2,credit_card,0,1
CUST_00066,2.7,65.68,month-to-month,1,direct_debit,0,1
CUST_00067,29.2,40.24,month-to-month,1,credit_card,1,0
CUST_00068,1.4,43.06,month-to-month,0,direct_debit,0,1
CUST_00069,72.0,84.99,month-to-month,1,paypal,1,1
CUST_00070,26.6,75.59,month-to-month,1,credit_card,1,0
CUST_00071,4.0,59.22,month-to-month,2,credit_card,1,1
CUST_00072,0.1,51.64,two-year,2,direct_debit,0,0
CUST_00073,30.4,19.48,one-year,3,direct_debit,0,1
CUST_00074,22.1,38.58,one-year,1,credit_card,0,1
CUST_00075,23.5,98.23,month-to-month,2,direct_debit,0,1
CUST_00076,26.6,34.39,two-year,2,credit_card,0,0
CUST_00077,1.4,63.79,one-year,2,credit_card,0,0
CUST_00078,8.0,80.15,one-year,1,credit_card,0,1
CUST_00079,2.2,34.9,month-to-month,4,paypal,0,1
CUST_00080,35.8,63.69,two-year,1,direct_debit,0,0
CUST_00081,17.6,78.76,one-year,0,direct_debit,0,1
CUST_00082,7.2,60.25,two-year,1,paypal,1,0
CUST_00083,1.2,117.37,month-to-month,1,credit_card,0,0
CUST_00084,6.7,26.63,month-to-month,3,direct_debit,0,0
CUST_00085,7.1,81.17,month-to-month,1,paypal,0,0
CUST_00086,23.5,56.54,month-to-month,4,credit_card,1,1
CUST_00087,18.3,75.44,two-year,3,credit_card,1,1
CUST_00088,39.3,68.83,month-to-month,1,paypal,0,1
CUST_00089,11.5,45.34,month-to-month,2,paypal,0,1
CUST_00090,2.3,64.58,month-to-month,1,credit_card,0,0
CUST_00091,22.5,22.84,month-to-month,3,credit_card,0,1
CUST_00092,25.7,72.06,month-to-month,3,credit_card,1,0
CUST_00093,14.8,65.96,one-year,1,credit_card,0,0
CUST_00094,26.5,72.77,month-to-month,2,credit_card,0,1
CUST_00095,12.3,81.16,month-to-month,1,direct_debit,0,1
CUST_00096,13.3,67.35,month-to-month,4,paypal,1,1
CUST_00097,10.0,62.96,month-to-month,1,credit_card,0,1
CUST_00098,0.5,42.38,month-to-month,1,paypal,1,1
CUST_00099,2.1,45.76,one-year,2,credit_card,0,1
CUST_00100,0.6,83.73,one-year,2,credit_card,0,1
CUST_00101,18.2,88.73,one-year,3,direct_debit,0,0
CUST_00102,6.8,55.24,one-year,2,credit_card,0,1
CUST_00103,12.8,60.92,month-to-month,1,credit_card,1,1
CUST_00104,42.9,41.91,two-year,3,paypal,1,0
CUST_00105,5.2,83.46,one-year,1,credit_card,0,1
CUST_00106,9.5,73.31,two-year,1,direct_debit,0,1
CUST_00107,25.4,98.82,month-to-month,1,credit_card,0,0
CUST_00108,4.7,42.43,two-year,4,credit_card,0,0
CUST_00109,1.4,52.44,one-year,0,direct_debit,0,0
CUST_00110,6.2,64.63,one-year,2,paypal,0,1
CUST_00111,3.2,72.93,month-to-month,4,credit_card,1,1
CUST_00112,47.8,55.69,one-year,0,direct_debit,1,1
CUST_00113,29.7,42.54,two-year,2,paypal,0,0
CUST_00114,18.1,77.63,one-year,2,direct_debit,1,1
CUST_00115,36.9,74.42,month-to-month,1,credit_card,0,1
CUST_00116,29.3,41.67,two-year,0,direct_debit,0,0
CUST_00117,3.7,87.11,month-to-month,1,direct_debit,0,0
CUST_00118,40.2,83.4,month-to-month,1,direct_debit,0,0
CUST_00119,14.0,62.69,month-to-month,1,direct_debit,1,1
CUST_00120,29.7,61.59,two-year,1,credit_card,1,1
CUST_00121,40.8,71.08,month-to-month,0,direct_debit,0,0
CUST_00122,6.9,42.77,month-to-month,3,direct_debit,0,1
CUST_00123,2.1,60.6,one-year,1,direct_debit,0,1
CUST_00124,4.7,16.95,one-year,2,paypal,0,1
CUST_00125,10.0,77.53,month-to-month,1,paypal,1,0
CUST_00126,30.7,28.77,two-year,1,direct_debit,1,0
CUST_00127,35.5,90.07,two-year,0,direct_debit,0,0
CUST_00128,0.1,53.4,month-to-month,2,direct_debit,1,1
CUST_00129,12.9,55.77,month-to-month,4,direct_debit,0,1
CUST_00130,9.7,47.45,month-to-month,4,paypal,0,0
CUST_00131,4.5,54.24,month-to-month,2,direct_debit,0,1
CUST_00132,2.3,88.37,month-to-month,0,credit_card,1,0
CUST_00133,7.4,10.24,two-year,2,direct_debit,0,1
CUST_00134,51.5,85.54,one-year,2,direct_debit,1,1
CUST_00135,7.0,66.76,month-to-month,3,direct_debit,0,0
CUST_00136,13.2,35.86,month-to-month,3,direct_debit,0,0
CUST_00137,21.9,38.49,month-to-month,3,credit_card,0,0
CUST_00138,8.1,93.53,month-to-month,1,credit_card,1,1
CUST_00139,64.2,41.09,month-to-month,2,credit_card,0,1
CUST_00140,59.1,36.93,two-year,2,credit_card,1,0
CUST_00141,5.2,82.75,two-year,0,credit_card,0,1
CUST_00142,12.4,66.77,month-to-month,3,paypal,0,0
CUST_00143,6.4,41.24,two-year,3,credit_card,1,1
CUST_00144,6.0,64.33,month-to-month,2,paypal,0,0
CUST_00145,0.7,39.48,one-year,1,credit_card,1,0
CUST_00146,16.9,82.02,month-to-month,1,credit_card,0,1
CUST_00147,12.6,81.23,month-to-month,1,direct_debit,0,0
CUST_00148,1.0,70.64,two-year,0,credit_card,1,1
CUST_00149,5.9,67.23,month-to-month,0,paypal,1,1
CUST_00150,43.0,95.22,one-year,4,credit_card,0,1
CUST_00151,4.9,59.99,month-to-month,1,credit_card,0,1
CUST_00152,2.8,36.36,month-to-month,4,paypal,0,1
CUST_00153,12.1,68.99,month-to-month,2,credit_card,0,1
CUST_00154,72.0,101.72,month-to-month,1,credit_card,0,1
CUST_00155,5.0,39.7,one-year,3,credit_card,0,1
CUST_00156,20.1,52.77,month-to-month,2,direct_debit,1,1
CUST_00157,25.8,68.33,one-year,1,credit_card,1,1
CUST_00158,4.9,58.92,one-year,0,direct_debit,0,0
CUST_00159,23.4,40.35,one-year,0,paypal,1,0
CUST_00160,8.3,82.44,month-to-month,3,paypal,0,0
CUST_00161,18.0,106.4,two-year,4,credit_card,0,1
CUST_00162,18.1,63.92,month-to-month,0,credit_card,1,1
CUST_00163,13.8,41.92,month-to-month,3,credit_card,1,0
CUST_00164,1.7,29.02,month-to-month,1,direct_debit,0,0
CUST_00165,32.5,65.16,month-to-month,1,credit_card,1,1
CUST_00166,7.0,82.08,month-to-month,4,paypal,0,0
CUST_00167,3.7,69.5,one-year,1,direct_debit,1,1
CUST_00168,0.7,59.95,month-to-month,2,credit_card,0,1
CUST_00169,16.1,48.21,month-to-month,1,direct_debit,1,0
CUST_00170,20.4,38.16,one-year,1,credit_card,0,1
CUST_00171,0.3,76.7,month-to-month,3,credit_card,0,1
CUST_00172,12.9,78.28,month-to-month,1,credit_card,0,1
CUST_00173,4.6,29.09,month-to-month,2,credit_card,0,1
CUST_00174,18.7,91.8,one-year,3,direct_debit,0,1
CUST_00175,3.4,71.48,month-to-month,2,direct_debit,1,1
CUST_00176,21.1,87.99,month-to-month,2,credit_card,1,0
CUST_00177,8.8,33.16,month-to-month,1,paypal,0,0
CUST_00178,49.7,32.68,one-year,0,credit_card,1,1
CUST_00179,2.7,57.02,one-year,1,credit_card,0,1
CUST_00180,7.5,70.06,one-year,2,credit_card,0,1
CUST_00181,2.2,95.93,month-to-month,2,direct_debit,1,0
CUST_00182,46.6,74.12,month-to-month,3,paypal,0,1
CUST_00183,37.8,55.15,month-to-month,0,direct_debit,1,1
CUST_00184,5.4,39.47,month-to-month,4,paypal,1,1
CUST_00185,19.4,84.6,month-to-month,3,credit_card,0,1
CUST_00186,30.6,40.71,month-to-month,0,credit_card,0,0
CUST_00187,14.6,92.57,month-to-month,1,direct_debit,0,0
CUST_00188,13.6,54.31,one-year,1,direct_debit,1,0
CUST_00189,5.0,91.81,month-to-month,1,credit_card,0,1
CUST_00190,1.8,73.58,one-year,0,paypal,0,0
CUST_00191,41.0,57.26,month-to-month,1,credit_card,0,1
CUST_00192,41.5,49.61,month-to-month,3,credit_card,0,1
CUST_00193,18.0,53.18,month-to-month,2,direct_debit,1,1
CUST_00194,7.5,68.57,month-to-month,0,direct_debit,0,1
CUST_00195,7.7,61.54,month-to-month,2,credit_card,1,1
CUST_00196,23.3,48.12,month-to-month,2,credit_card,0,0
CUST_00197,40.9,56.69,two-year,0,direct_debit,0,1
CUST_00198,39.3,61.57,one-year,2,direct_debit,0,1
CUST_00199,27.2,17.43,month-to-month,3,direct_debit,1,0
CUST_00200,18.5,69.16,one-year,0,direct_debit,0,1
CUST_00201,1.6,40.41,one-year,2,credit_card,0,0
CUST_00202,3.2,36.93,one-year,1,paypal,0,0
CUST_00203,41.2,26.25,one-year,0,paypal,0,1
CUST_00204,16.8,24.12,month-to-month,1,credit_card,0,1
CUST_00205,0.2,32.89,month-to-month,3,credit_card,0,0
CUST_00206,1.9,45.82,month-to-month,1,credit_card,0,0
CUST_00207,19.6,99.07,month-to-month,2,direct_debit,0,1
CUST_00208,0.1,49.48,month-to-month,0,paypal,1,1
CUST_00209,3.2,63.56,month-to-month,0,direct_debit,0,1
CUST_00210,14.3,68.01,two-year,4,paypal,0,0
CUST_00211,21.2,62.62,two-year,3,credit_card,0,1
CUST_00212,19.0,58.45,two-year,3,direct_debit,0,0
CUST_00213,4.6,36.09,one-year,3,credit_card,0,0
CUST_00214,22.4,89.02,two-year,1,credit_card,0,0
CUST_00215,4.9,96.14,month-to-month,0,direct_debit,0,0
CUST_00216,7.1,26.35,month-to-month,3,credit_card,0,1
CUST_00217,24.7,39.52,month-to-month,1,direct_debit,0,1
CUST_00218,18.9,54.4,one-year,0,direct_debit,1,0
CUST_00219,34.1,40.71,month-to-month,2,paypal,1,1
CUST_00220,19.3,70.12,one-year,3,credit_card,1,1
CUST_00221,15.1,45.43,month-to-month,3,direct_debit,0,0
CUST_00222,1.8,103.3,month-to-month,0,paypal,0,1
CUST_00223,8.3,83.81,one-year,0,paypal,1,0
CUST_00224,5.5,64.25,month-to-month,2,direct_debit,0,1
CUST_00225,5.0,80.54,month-to-month,2,direct_debit,0,1
CUST_00226,65.0,82.12,month-to-month,4,credit_card,0,1
CUST_00227,9.0,48.72,month-to-month,1,direct_debit,0,0
CUST_00228,40.1,43.68,one-year,2,direct_debit,1,0
CUST_00229,18.0,61.56,month-to-month,2,direct_debit,1,1
CUST_00230,28.5,77.23,month-to-month,1,direct_debit,1,1
CUST_00231,12.6,62.78,month-to-month,1,credit_card,1,0
CUST_00232,15.5,28.46,one-year,2,credit_card,0,1
CUST_00233,12.2,43.94,month-to-month,0,direct_debit,1,1
CUST_00234,3.9,58.52,one-year,4,credit_card,0,1
CUST_00235,23.1,58.49,one-year,0,credit_card,0,0
CUST_00236,5.9,99.45,month-to-month,1,credit_card,0,1
CUST_00237,0.4,32.28,two-year,3,credit_card,1,1
CUST_00238,18.7,70.11,one-year,1,paypal,1,0
CUST_00239,3.5,89.78,month-to-month,1,direct_debit,0,1
CUST_00240,50.8,105.43,month-to-month,2,credit_card,0,1
CUST_00241,55.4,51.91,two-year,0,direct_debit,0,1
CUST_00242,44.3,69.83,one-year,2,credit_card,0,1
CUST_00243,8.3,71.4,month-to-month,4,direct_debit,0,1
CUST_00244,0.3,63.91,month-to-month,1,credit_card,1,0
CUST_00245,47.4,58.02,one-year,1,paypal,0,1
CUST_00246,10.1,68.72,one-year,3,credit_card,0,1
CUST_00247,61.2,10.0,one-year,2,direct_debit,1,0
CUST_00248,59.6,73.64,month-to-month,2,paypal,0,1
CUST_00249,34.5,62.52,one-year,2,paypal,0,1
CUST_00250,6.3,55.55,month-to-month,3,credit_card,1,1
CUST_00251,8.8,100.94,month-to-month,1,direct_debit,1,1
CUST_00252,34.3,46.5,one-year,1,credit_card,0,0
CUST_00253,6.9,51.94,two-year,1,direct_debit,0,0
CUST_00254,3.3,99.83,month-to-month,2,credit_card,0,0
CUST_00255,14.6,43.36,month-to-month,1,paypal,0,0
CUST_00256,49.5,49.0,one-year,0,credit_card,0,0
CUST_00257,21.4,57.06,month-to-month,1,direct_debit,0,1
CUST_00258,15.2,76.81,one-year,3,direct_debit,1,1
CUST_00259,1.8,64.16,one-year,2,paypal,0,0
CUST_00260,17.2,34.15,month-to-month,6,direct_debit,0,1
CUST_00261,72.0,49.36,two-year,4,credit_card,0,1
CUST_00262,2.7,47.85,one-year,1,credit_card,0,1
CUST_00263,13.1,58.46,two-year,1,credit_card,0,0
CUST_00264,37.8,68.52,one-year,1,direct_debit,1,1
CUST_00265,24.3,68.36,two-year,2,direct_debit,0,1
CUST_00266,21.5,24.48,month-to-month,1,direct_debit,0,0
CUST_00267,21.8,81.28,month-to-month,8,credit_card,0,1
CUST_00268,8.0,65.05,two-year,3,direct_debit,0,0
CUST_00269,6.3,87.69,month-to-month,1,direct_debit,0,1
CUST_00270,29.8,68.88,month-to-month,1,paypal,0,0
CUST_00271,29.9,82.03,one-year,1,direct_debit,0,1
CUST_00272,36.3,69.33,one-year,1,credit_card,0,0
CUST_00273,44.0,86.92,month-to-month,1,credit_card,1,0
CUST_00274,12.9,70.45,two-year,1,credit_card,0,0
CUST_00275,12.5,58.04,one-year,1,direct_debit,0,0
CUST_00276,28.8,105.45,month-to-month,1,direct_debit,0,1
CUST_00277,18.9,77.78,one-year,3,credit_card,0,0
CUST_00278,21.8,71.47,month-to-month,1,credit_card,0,1
CUST_00279,28.6,34.47,month-to-month,0,credit_card,0,0
CUST_00280,39.7,34.23,month-to-month,2,paypal,0,0
CUST_00281,7.4,65.85,month-to-month,4,credit_card,1,1
CUST_00282,8.5,62.91,month-to-month,3,credit_card,0,1
CUST_00283,1.8,47.72,one-year,1,credit_card,1,1
CUST_00284,15.5,62.82,one-year,0,credit_card,1,0
CUST_00285,0.7,91.77,month-to-month,1,direct_debit,0,1
CUST_00286,11.3,73.91,one-year,3,paypal,0,1
CUST_00287,14.1,37.18,month-to-month,0,credit_card,0,0
CUST_00288,6.1,57.77,month-to-month,2,direct_debit,0,0
CUST_00289,16.1,43.9,two-year,2,credit_card,0,0
CUST_00290,0.6,52.25,month-to-month,3,paypal,0,0
CUST_00291,0.7,51.73,month-to-month,1,credit_card,1,0
CUST_00292,31.1,50.45,one-year,4,credit_card,0,0
CUST_00293,8.0,34.9,month-to-month,3,direct_debit,0,1
CUST_00294,2.4,57.45,two-year,3,credit_card,0,0
CUST_00295,13.3,48.79,month-to-month,2,credit_card,0,0
CUST_00296,26.5,10.0,month-to-month,3,direct_debit,1,0
CUST_00297,4.4,101.06,month-to-month,0,direct_debit,0,0
CUST_00298,17.6,81.78,month-to-month,2,direct_debit,0,1
CUST_00299,1.6,52.47,month-to-month,0,direct_debit,1,1
CUST_00300,1.0,60.38,month-to-month,1,direct_debit,1,0
CUST_00301,13.6,36.57,two-year,4,direct_debit,1,1
CUST_00302,14.0,93.91,two-year,2,direct_debit,1,0
CUST_00303,18.3,97.95,month-to-month,1,direct_debit,0,1
CUST_00304,23.3,63.13,month-to-month,2,credit_card,0,0
CUST_00305,67.0,80.47,month-to-month,2,credit_card,0,0
CUST_00306,13.1,63.51,two-year,1,credit_card,0,0
CUST_00307,7.0,33.27,two-year,3,credit_card,0,1
CUST_00308,28.5,51.76,month-to-month,4,direct_debit,1,1
CUST_00309,5.7,62.64,one-year,3,credit_card,0,0
CUST_00310,10.4,50.91,month-to-month,0,credit_card,1,0
CUST_00311,1.5,55.63,month-to-month,1,credit_card,0,1
CUST_00312,0.5,58.17,month-to-month,1,credit_card,0,1
CUST_00313,59.2,58.38,month-to-month,0,direct_debit,0,1
CUST_00314,32.5,61.05,month-to-month,0,direct_debit,0,0
CUST_00315,21.4,38.79,month-to-month,3,direct_debit,0,0
CUST_00316,9.5,45.66,one-year,0,credit_card,0,0
CUST_00317,3.4,34.31,month-to-month,2,paypal,0,1
CUST_00318,3.1,79.56,month-to-month,4,paypal,1,1
CUST_00319,5.2,17.89,month-to-month,1,direct_debit,0,0
CUST_00320,14.3,83.07,month-to-month,1,paypal,0,1
CUST_00321,22.6,87.73,month-to-month,1,direct_debit,0,1
CUST_00322,19.4,53.96,month-to-month,4,paypal,0,1
CUST_00323,5.9,10.0,month-to-month,4,paypal,1,1
CUST_00324,55.8,52.77,month-to-month,2,paypal,1,1
CUST_00325,24.1,58.72,month-to-month,1,direct_debit,1,1
CUST_00326,14.5,39.79,month-to-month,1,direct_debit,0,1
CUST_00327,17.0,49.7,one-year,6,direct_debit,0,1
CUST_00328,9.8,90.6,one-year,4,credit_card,1,0
CUST_00329,5.1,73.3,month-to-month,2,credit_card,1,1
CUST_00330,7.9,41.51,month-to-month,1,paypal,1,1
CUST_00331,25.5,28.05,month-to-month,2,credit_card,1,1
CUST_00332,0.3,53.46,month-to-month,2,direct_debit,0,1
CUST_00333,2.2,55.73,month-to-month,1,credit_card,0,1
CUST_00334,0.8,69.92,month-to-month,0,credit_card,1,0
CUST_00335,0.7,49.29,month-to-month,0,paypal,1,0
CUST_00336,34.8,70.23,two-year,1,paypal,1,1
CUST_00337,21.9,98.7,month-to-month,2,direct_debit,0,1
CUST_00338,11.6,76.31,month-to-month,3,credit_card,0,1
CUST_00339,1.9,59.04,month-to-month,0,direct_debit,0,0
CUST_00340,12.2,56.34,two-year,0,credit_card,0,0
CUST_00341,11.5,52.87,one-year,4,credit_card,0,1
CUST_00342,3.4,83.61,month-to-month,5,credit_card,1,1
CUST_00343,10.2,47.45,one-year,2,direct_debit,0,1
CUST_00344,9.2,60.9,month-to-month,1,credit_card,0,1
CUST_00345,17.2,61.02,one-year,1,direct_debit,0,0
CUST_00346,18.1,49.96,one-year,2,credit_card,0,1
CUST_00347,0.8,32.55,month-to-month,1,credit_card,0,1
CUST_00348,8.4,66.46,one-year,2,credit_card,1,1
CUST_00349,17.7,58.78,month-to-month,0,paypal,0,1
CUST_00350,12.6,70.0,month-to-month,0,direct_debit,0,1
CUST_00351,34.9,49.33,month-to-month,3,credit_card,1,0
CUST_00352,19.3,84.42,one-year,2,direct_debit,0,1
CUST_00353,3.2,42.46,month-to-month,2,paypal,0,1
CUST_00354,1.3,94.24,month-to-month,0,direct_debit,0,0
CUST_00355,18.5,25.05,one-year,0,direct_debit,0,1
CUST_00356,0.5,68.7,month-to-month,1,credit_card,0,1
CUST_00357,15.9,69.51,month-to-month,1,direct_debit,0,1
CUST_00358,50.7,44.09,month-to-month,0,direct_debit,1,0
CUST_00359,15.4,68.49,month-to-month,2,direct_debit,0,1
CUST_00360,8.8,85.59,month-to-month,3,paypal,0,1
CUST_00361,18.6,15.66,month-to-month,2,credit_card,0,1
CUST_00362,11.0,70.05,two-year,5,credit_card,0,1
CUST_00363,14.2,10.13,one-year,4,paypal,0,0
CUST_00364,51.1,40.69,month-to-month,2,direct_debit,1,0
CUST_00365,8.8,92.58,month-to-month,1,credit_card,0,0
CUST_00366,58.5,48.36,month-to-month,1,credit_card,0,1
CUST_00367,42.4,36.52,one-year,2,paypal,1,1
CUST_00368,3.9,56.04,month-to-month,2,credit_card,0,0
CUST_00369,1.3,101.36,month-to-month,3,credit_card,0,1
CUST_00370,1.9,23.37,two-year,2,credit_card,0,1
CUST_00371,0.3,38.97,month-to-month,0,paypal,0,1
CUST_00372,1.8,89.95,month-to-month,3,paypal,0,1
CUST_00373,20.7,97.15,two-year,6,direct_debit,0,1
CUST_00374,1.3,57.93,one-year,2,direct_debit,0,0
CUST_00375,6.9,35.22,month-to-month,2,credit_card,0,0
CUST_00376,33.5,101.92,one-year,1,credit_card,1,0
CUST_00377,0.4,91.89,month-to-month,1,paypal,0,0
CUST_00378,30.3,73.58,one-year,2,credit_card,0,1
CUST_00379,6.0,43.75,month-to-month,1,direct_debit,0,1
CUST_00380,2.3,59.02,one-year,1,direct_debit,0,1
CUST_00381,21.5,56.79,two-year,0,credit_card,0,0
CUST_00382,17.8,66.62,two-year,1,direct_debit,0,1
CUST_00383,37.8,89.02,two-year,2,direct_debit,0,1
CUST_00384,23.9,77.59,month-to-month,3,direct_debit,0,1
CUST_00385,29.3,38.45,month-to-month,0,credit_card,0,1
CUST_00386,6.0,87.53,month-to-month,2,credit_card,1,1
CUST_00387,3.5,66.26,one-year,2,direct_debit,0,1
CUST_00388,25.0,73.74,two-year,2,paypal,1,0
CUST_00389,29.6,89.33,month-to-month,0,credit_card,1,1
CUST_00390,72.0,37.77,two-year,2,paypal,1,0
CUST_00391,9.6,59.28,one-year,3,direct_debit,1,1
CUST_00392,8.4,49.37,two-year,2,paypal,0,0
CUST_00393,27.0,28.64,two-year,0,credit_card,0,0
CUST_00394,7.5,66.93,month-to-month,0,credit_card,0,0
CUST_00395,48.1,110.23,month-to-month,3,credit_card,1,1
CUST_00396,35.2,23.2,month-to-month,5,credit_card,0,0
CUST_00397,10.1,59.35,month-to-month,0,paypal,0,0
CUST_00398,25.0,72.81,one-year,0,credit_card,0,1
CUST_00399,25.3,62.46,one-year,1,direct_debit,0,1
CUST_00400,2.0,57.74,two-year,2,credit_card,0,1
CUST_00401,41.9,34.02,one-year,1,direct_debit,0,1
CUST_00402,12.7,64.66,month-to-month,2,credit_card,1,1
CUST_00403,31.5,44.86,month-to-month,4,credit_card,1,0
CUST_00404,6.9,16.2,month-to-month,1,credit_card,1,1
CUST_00405,40.7,83.89,month-to-month,1,direct_debit,1,0
CUST_00406,8.9,79.17,month-to-month,2,credit_card,0,0
CUST_00407,0.2,61.03,month-to-month,2,credit_card,1,0
CUST_00408,42.4,64.58,month-to-month,3,credit_card,0,1
CUST_00409,1.7,81.49,month-to-month,0,paypal,1,1
CUST_00410,6.9,64.49,one-year,2,direct_debit,0,1
CUST_00411,53.9,78.08,month-to-month,0,direct_debit,0,1
CUST_00412,54.1,54.05,month-to-month,0,direct_debit,1,1
CUST_00413,15.3,86.24,month-to-month,3,credit_card,0,0
CUST_00414,18.0,66.42,two-year,5,direct_debit,0,0
CUST_00415,10.7,63.88,month-to-month,2,credit_card,0,1
CUST_00416,6.2,34.6,month-to-month,0,credit_card,0,1
CUST_00417,7.2,65.74,one-year,3,direct_debit,0,1
CUST_00418,20.1,43.36,month-to-month,0,direct_debit,0,0
CUST_00419,25.1,47.23,two-year,0,credit_card,0,0
CUST_00420,28.2,43.69,month-to-month,0,credit_card,0,1
CUST_00421,28.1,38.68,month-to-month,1,direct_debit,0,1
CUST_00422,1.7,102.5,month-to-month,3,direct_debit,0,1
CUST_00423,12.3,86.63,one-year,2,credit_card,0,1
CUST_00424,1.1,98.41,month-to-month,0,credit_card,0,1
CUST_00425,14.4,35.54,month-to-month,0,paypal,0,0
CUST_00426,10.5,61.43,month-to-month,0,direct_debit,0,1
CUST_00427,39.4,34.13,month-to-month,0,paypal,1,0
CUST_00428,7.8,46.09,month-to-month,1,credit_card,1,1
CUST_00429,2.2,41.64,one-year,5,direct_debit,1,0
CUST_00430,2.8,84.79,one-year,1,credit_card,0,0
CUST_00431,25.8,52.08,month-to-month,4,direct_debit,0,1
CUST_00432,17.3,81.37,month-to-month,0,credit_card,0,0
CUST_00433,1.9,72.08,one-year,3,credit_card,0,1
CUST_00434,1.6,106.07,month-to-month,5,credit_card,1,1
CUST_00435,21.7,30.41,month-to-month,1,direct_debit,0,1
CUST_00436,1.4,85.18,month-to-month,0,direct_debit,0,1
CUST_00437,31.1,82.93,one-year,3,direct_debit,0,1
CUST_00438,22.0,40.53,two-year,1,paypal,0,0
CUST_00439,1.5,80.14,one-year,1,direct_debit,0,1
CUST_00440,1.6,66.72,month-to-month,2,direct_debit,0,1
CUST_00441,72.0,55.45,month-to-month,1,paypal,0,0
CUST_00442,8.4,43.52,two-year,1,direct_debit,0,0
